100;10;10;10;10;10000;9890;98.9;
100;10;40;40;40;10000;9007;90.07;
100;10;10;10;10;1000;978;97.8;
100;40;40;40;40;40000;36852;92.13;
1000;10;10;10;10;1000;538;53.800000000000004;
1000;10;10;10;10;1000;583;58.3;
100;10;10;10;10;10000;9986;99.86;
100;10;10;10;10;10000;9964;99.64;
1000;10;10;10;10;1000;557;55.7;
100;10;10;10;10;10000;9861;98.61;
100;10;10;10;10;10000;9912;99.11999999999999;
100;40;40;40;10;10000;6090;60.9;
100;40;10;40;20;10000;8707;87.07000000000001;
100;40;10;40;10;10000;6692;66.92;
100;70;10;70;10;10000;4044;40.44;
100;10;10;10;10;1000;936;93.60000000000001;
100;10;10;10;10;10000;9980;99.8;
100;10;10;10;10;1000;922;92.2;
100;10;10;10;10;1000;965;96.5;
1000;10;10;10;10;1000;577;57.699999999999996;
100;10;10;10;10;1000;929;92.9;
100;10;10;10;10;10000;9886;98.86;
100;10;10;10;10;10;10;100.0;
100;10;10;10;10;10000;9970;99.7;
100;10;10;10;10;1000;974;97.39999999999999;
