3,4,90
6,7,28
4,5,69
5,6,71
3,4,48
6,7,17
4,5,65
8,9,46
7,8,35
8,9,67
4,5,12
9,10,99
8,9,62
8,9,95
2,3,29
6,7,57
3,4,43
4,5,77
5,6,100
0,1,63
5,6,92
6,7,83
2,3,45
7,8,34
10,11,87
6,7,94
4,5,26
4,5,27
2,3,18
5,6,9
7,8,89
2,3,21
6,7,98
3,4,70
2,3,56
5,6,38
3,4,8
5,6,85
0,1,4
3,4,11
7,8,86
4,5,39
4,5,82
9,10,10
0,2,76
0,2,51
6,7,97
8,9,54
0,2,20
5,6,64
4,5,72
8,9,60
8,9,50
2,3,6
4,5,66
7,8,96
7,8,32
6,7,58
3,4,80
3,4,24
5,6,3
5,6,81
0,1,36
6,7,13
2,3,93
5,6,33
2,3,53
6,7,23
2,3,2
4,5,91
2,3,37
5,6,73
4,5,30
5,6,74
3,4,49
6,7,75
3,4,25
3,4,22
6,7,79
5,6,41
11,12,7
4,5,84
5,6,88
4,5,1
4,5,42
5,6,47
3,4,16
5,6,14
6,7,44
6,7,40
6,7,52
3,4,55
4,5,61
3,4,68
9,10,19
3,4,15
6,7,78
5,6,5
5,6,31
9,10,59
0,4,90
7,8,28
5,6,69
5,6,71
3,4,48
4,5,17
8,9,65
3,4,46
8,9,35
6,7,67
8,9,12
5,6,99
9,10,62
5,6,95
2,3,29
5,6,57
6,7,43
8,9,77
6,7,100
0,1,63
5,6,92
6,7,83
0,3,45
8,12,34
3,4,87
6,7,94
0,5,26
7,8,27
0,3,18
0,6,9
5,6,89
2,3,21
4,5,98
3,4,70
8,9,56
4,5,38
3,4,8
4,5,85
0,1,4
7,8,11
4,5,86
4,5,39
6,7,82
5,6,10
0,2,76
0,2,51
3,4,97
5,6,54
0,2,20
8,9,64
0,5,72
5,6,60
3,4,50
0,3,6
8,9,66
4,5,96
6,7,32
8,9,58
4,5,80
3,4,24
2,3,3
4,5,81
0,1,36
7,8,13
2,3,93
5,6,33
6,7,53
7,8,23
0,3,2
0,5,91
0,3,37
8,9,73
4,5,30
7,8,74
0,4,49
7,8,75
4,5,25
3,4,22
6,7,79
0,6,41
3,4,7
6,7,84
2,5,88
5,6,1
4,5,42
6,7,47
3,4,16
5,6,14
8,10,44
4,5,40
0,2,52
4,5,55
4,5,61
0,4,68
3,9,19
3,4,15
6,7,78
5,6,5
6,7,31
5,6,59
3,4,90
8,9,28
7,8,69
9,10,71
0,4,48
4,5,17
10,11,65
0,4,46
7,8,35
10,11,67
4,5,12
4,5,99
4,5,62
5,6,95
0,3,29
0,6,57
4,5,43
4,5,77
5,6,100
0,1,63
5,6,92
6,7,83
0,3,45
4,5,34
8,9,87
5,6,94
4,5,26
4,5,27
0,3,18
5,6,9
7,8,89
2,3,21
4,5,98
0,4,70
2,3,56
4,5,38
3,4,8
7,8,85
0,1,4
4,5,11
7,8,86
6,7,39
3,4,82
9,10,10
0,2,76
0,2,51
4,5,97
2,3,54
4,5,20
8,9,64
